"encara,embus,ap7,sant,cugat,santa,perpetua,gt,girona,topada,camio,turismes,carril,tallat,aturats,santa,perpetua,gt,sud,afecta,b30",['TI']
"aturats,ap7,altura,barbera,sentit,girona,accident,santa,perpetuagt,girona",['TI']
"congestio,c58,cerdanyola,c33,montcada",['TI']
"embus,ap7,sant,cugat,santa,perpetua,gt,girona,accident,talla,cua,santa,perpetua,gt,sud,afecta,b30",['TI']
"retirats,vehicles,accidentats,ronda,esplugues,gt,trinitat,millora,circulacio",['TI']
"talgo,694,sevillaestacio,frança,acumula,retard,incidencia,tecnica,limitacions,velocitat",['TI']
"cua,ronda,esplugues,gt,trinitat,accident,afecta,b23,sant,just,desvern,esplugues,gt,ronda,retencions,ronda,litoral,zona,franca,can,tunis,gt,besos",['TI']
"continuen,cues,c17,llagosta,montcada,gt,bcn,obres,b24,cervello,n340,vallirana,gt,tarragona,c14,montblanc,pira,c65,llambilles,banda,banda",['TI']
"ara,aturats,ap7,sant,perpetua,barbera,rubi,papiol,gt,sud,b23,molins,papiol,gt,girona,c1413,antiga,papiol,sant,cugat,b30,barbera,gt,sud,cerdanyola,gt,nord,c58,sant,quirze,gt,sud",['TI']
"retencio,b22,entrada,t1,aeroport,prat,afecta,c31,sud,gt,tarragona",['TI']
"cua,ronda,nus,llobregat,esplugues,gt,trinitat,accident,afecta,b23,sant,just,desvern,esplugues,gt,ronda",['TI']
"topada,camions,implicats,b142,altura,rotonda,polinya,cues",['TI']
"cues,a2,sant,vicenç,dels,horts,gt,lleida,obres,b23,molins,ap7,papiol,gt,girona,ap7,b30,barberagt,sud,c58,sant,quirzegt,sud,ronda,sarria,roquetesgt,besos,cua,ronda,litoral,vila,olimpicagt,nus,llobregat",['TI']
"1,carril,obert,c65,llagostera,retirar,vehicle,tingut,accident,precaucio",['TI']
"c241d,tallada,sarral,conca,barbera,retirar,vehicle,tingut,accident,mati",['TI']
"claravirgili,gracies,clara,",['TI']
"retencions,tunels,garraf,c32,sitges,pk,36345,gt,bcn,retiren,vehicles,implicats,accident,voral,precaucio",['TI']
"1,carril,tallat,a2,abrera,pk,583,gt,bcn,causa,vehicle,avariat,retencions,esparreguera,precaucio",['TI']
"r14,renfe,lleida,06,23,estacio,frança,09,49,circula,35,minuts,retard",['TI']
"nii,reoberta,agullana,emporda,tallada,5,causa,accident,retencions,pontdemolins,gt,nord",['TI']
",ultimahora,detinguts,4,homes,acusats,7,assalts,violents,ap7,feien,passar,policies,assaltaven,autocaravanes,furgonetes,aparcades,arees,servei,mossos",['TI']
"tallada,5,matinada,nii,agullana,emporda,topada,frontal,vist,implicats,3,vehicles,desviaments,ap7,sud,entrada,jonquera,nord,acces,pont,molins",['TI']
"15,km,cua,a2,martorell,palleja,gt,bcn,retirats,vehicles,implicats,accident,alternativa,ap7,b23",['TI']
"pas,alternatiu,n340,cervello,pk,1231,accident,retencions,2,sentits",['TI']
"nii,tallada,agullana,emporda,2,sentits,causa,accident,desviaments,ap7,precaucio",['TI']
"accident,a2,palleja,pk,601,gt,bcn,retencions,santandreudelabarca,precaucio",['TI']
"taxisigualada,gracies,bon,dia,",['TI']
"millora,circulacio,queden,retencions,autopista,maresme,argentona,gt,mataro,vehicle,avariat,afecta,c60,b30,barbera,gt,sud,cerdanyola,gt,nord,ronda,cornella,gt,llobregat",['TI']
"cues,ap7,castellbisbal,gt,bcn,accident,c16,tunels,vallvidrera,floresta,gt,bcn",['TI']
"aturats,c58,terrassa,sant,quirzegt,bcn,accident,montcada,nus,trinitat,sortida,ripollet,sabadell,gt,terrassa",['TI']
"cues,c32,autopista,garraf,sant,boi,tunel,vallvidrera,gt,bcn",['TI']
"a,bcn,accident,plaça,francesc,macia,cues,diagonal,banda,banda",['TI']
"retencions,aturats,ap7,martorell,c60,argentona,mataro,c1413,antiga,entrada,poblacio,sabadell",['TI']
"trams,retencions,ronda,sentit,besos,ronda,litoral,sentits,marxa",['TI']
