2018-08-07 17:35:38,🍷🍷🍷 Quan una persona ingereix begudes alcohòliques li disminueix la capacitat d’atenció i de processar la informaci… https://t.co/S0Y8MY5aGc
2018-08-07 16:47:42,"ℹ El Servei Català de Trànsit coordina una nova campanya de control de la velocitat excessiva, efectiva durant tota… https://t.co/vVcavd6zoR"
2018-08-07 15:33:18,✅ Situació normalitzada en aquest punt de la C-17 @transitc17 https://t.co/y1yQDhrmKC
2018-08-07 15:08:25,⚠ Accident a la C-17 @transitc17 a Montcada que talla un carril en sentit Nord i provoca més d'un quilòmetre de ret… https://t.co/FFMLy88Nwl
2018-08-07 14:01:30,✅ Situació normalitzada en aquest punt de la C-17 @transitc17 https://t.co/2iD69kl4EY
2018-08-07 13:59:13,RT @bomberscat: (Nota de Premsa) Actualització de l'informació de l'#IFCabradelCamp #bomberscat https://t.co/68nFfjoDXf https://t.co/OlUDZT…
2018-08-07 13:51:46,El Servei Català de Trànsit informa que el conductor d’una furgoneta ha mort en una col·lisió frontal a l’N-340 a A… https://t.co/8Y68zdB1XW
2018-08-07 13:34:02,"🚴‍♀️🚴‍♀️🚴‍♀️ Ciclista, evita passar entremig dels cotxes i ves sempre en línia recta: https://t.co/hvTKSvTvEg"
2018-08-07 13:04:04,✅ Situació normalitzada en aquests punts de la C-17 @transitc17 https://t.co/op0shcKZRV
2018-08-07 12:48:02,RT @mossos: Condueix triplicant la taxa d'alcoholèmia permesa i havent consumit cocaïna i s'accidenta a Sant Feliu de Guíxols. Detenim el c…
2018-08-07 12:30:23,@6qcara Gràcies per l'avís i la informació!
2018-08-07 12:29:30,⚠ A la C-17 hi ha un carril tallat a Lliçà d'Amunt en sentit Vic per un vehicle avariat. Congestió. Compte!… https://t.co/sJwVEDJ3OI
2018-08-07 11:59:25,✅ Situació normalitzada en aquest tram de l'AP-7. @transitap7 https://t.co/VpSGONzOdN
2018-08-07 11:53:11,⚠🚧 A la C-17 hi ha un carril tallat a Montcada i Reixac i també a la Llagosta en sentit Vic per obres. Retencions.… https://t.co/im8YB8hEOv
2018-08-07 11:23:16,"‼️ 🎛 Aquesta setmana coordinem una nova campanya de control de la velocitat excessiva. Recorda, ara i sempre, respe… https://t.co/vmwxHDOG8d"
2018-08-07 11:17:39,⚠ A l'AP-7 hi ha un carril tallat a Mollet del Vallès en sentit sud per un vehicle avariat. Intensitat. Precaució!… https://t.co/LXoNVNeSaR
2018-08-07 11:15:38,⚠ A l'A-2 hi ha un carril tallat a Esparreguera en sentit Lleida per un vehicle avariat. Intensitat. Compte!… https://t.co/eNAgNSdZhl
2018-08-07 10:22:43,RT @mossos: Denunciem el propietari i el conductor de dos camions que tenien la mateixa matrícula. El camió amb matrícula duplicada no teni…
2018-08-07 09:48:41,"🌞🚗Recordreu sobretot, atès que es manté l'alerta #PROCICAT #onadadecalor: 
💦Hidratar-vos, portar aigua o begudes fr… https://t.co/8De4eiKOvk"
2018-08-07 09:02:02,❌🍹🍻 L'alcohol i les drogues provoquen alteracions en l'organisme que fan que siguin incompatibles amb una… https://t.co/DygLdeky0z
2018-08-07 08:41:45,✅ Ja s'ha obert el carril tallat per #avaria a l'A-2 a Abrera➡Lleida @transita2 https://t.co/uU7jmXwUtR
2018-08-07 08:40:08,"🌧Davant previsió intensitat #pluja recorda, si et sorprèn conduint, aquests consells: 
➡️ modera velocitat 
➡️ augm… https://t.co/5NUI1FcP6o"
2018-08-07 08:23:12,⚠ L'#avaria d'un vehicle talla un carril de l'A-2 a Abrera ➡ Lleida @transita2 https://t.co/YfpKKMbAZZ
2018-08-07 08:20:43,ℹ✅ Restablert el trànsit a l'N-340 a Alcanar. Compte! Se circula amb retencions en un tram de 3km en ambdós sentits… https://t.co/0i4vdrkeHN
2018-08-07 07:06:00,✅ Ja s'ha obert el carril tallat a la B-20 per aquest tram en #obres ➡Nus del Llobregat @transitb20 https://t.co/CNglOUWXcD
2018-08-07 06:59:16,⚠ Ara es dóna pas alternatiu ↔ a l'N-340 a Alcanar per aquest #accident @transitn340 https://t.co/6XUh1wrhbh
2018-08-07 06:52:17,"RT @bomberscat: Activades 5 dotacions #bomberscat per aquest accident, en el qual han xocat forntalment una furgoneta i un camió. https://t…"
2018-08-07 06:52:01,ℹ⚠⛔L'N-340 a Alcanar #Montsià es manté tallada al trànsit ara per la retirada dels vehicles accidentats @transitn340 https://t.co/vUq6lPir14
2018-08-07 06:10:00,⚠🚧 A la Ronda de Dalt o B-20 hi ha un carril tallat a la Vall d'Hebron en sentit Llobregat per obres. 1km de retenc… https://t.co/KBBNyZfx5y
2018-08-07 06:04:01,Bon dia! ⚠⛔ L'N-340 està tallada a Alcanar (Montsià) en tots dos sentits per un accident. Precaució! @transitn340 https://t.co/04NgjcYqiy
2018-08-06 19:00:02,Ara hi ha molta calma a la xarxa viària catalana. Seguiu en aquest enllaç tota la informació:… https://t.co/rMUTDkNgfE
2018-08-06 18:30:32,El consum d'alcohol i drogues combinat amb la conducció ja es considera un dels principals factors concurrents de l… https://t.co/g2v5XplEOw
2018-08-06 17:50:26,"@Dicveritats Hola. Ens han informat d'un accident a l'N-154 al punt quilomètric 3,3. De moment no tenim més dades."
2018-08-06 17:42:07,✅ Situació normalitzada en aquest tram de la C-32 @transitc32sud https://t.co/ezNhtj0XfA
2018-08-06 17:38:51,[Nota] A + velocitat= + risc d’accident i lesions + greus. Nova campanya de control de la velocitat: https://t.co/6IA4zEYSDp
2018-08-06 17:10:00,⚠🚙🚐🚗 Un vehicle avariat a la C-32 a Sant Boi talla un carril en sentit Barcelona i provoca una cua de 3km. També hi… https://t.co/RqEUJh2y8d
2018-08-06 16:15:05,"@sitajxc Disculpa el retard. Ens indiquen que hi ha un accident a la C-65 al pk 28, a Girona, en sentit Quart. No en tenim més dades."
2018-08-06 14:36:39,"ℹ Per a una #ConduccióSegura , conductors i ciclistes seguiu aquests consells:
https://t.co/saWNCUxsVv"
2018-08-06 14:27:40,✅ Normalitzat el trànsit en aquest punt de la xarxa viària. https://t.co/olb1u0IpZL
2018-08-06 13:44:11,Tots els carrils oberts en aquest tram de la C-14. https://t.co/tbKKpA5h2j
2018-08-06 12:29:31,⚠⛔ Tallada la C-14 a Coll de Nargó #AltUrgell per #accident @transitc14 https://t.co/Sc4AWJ9SuE
2018-08-06 12:16:30,✅ Completament normalitzada l'A-2 a Òdena en direcció Lleida @transita2 https://t.co/SrRagHKlOj
2018-08-06 11:43:19,[Nota] El Servei Català de Trànsit coordina una nova campanya de control de la velocitat excessiva https://t.co/5qsu9OMQh8
2018-08-06 11:42:05,⚠ Un carril tallat a l'A-2 a Tàrrega ➡ Barcelona a causa d'un vehicle #avariat. Se circula amb intensitat @transita2
2018-08-06 11:27:17,"🔴 A l'A-2 a Òdena➡Lleida:
✅ Obert el carril tallat per #avaria
⚠🚧 es manté un carril tallat per tram en #obres a l'… https://t.co/lXp1w4NvyK"
2018-08-06 11:03:58,"Hola @carmerieramin, en aquest tram de la C-15 no consta cap afectació destacada que provoqui aquesta retenció. Grà… https://t.co/uziWGogET2"
2018-08-06 10:45:47,⚠ A la BP-5002 a Vilanova del Vallès #VallèsOriental es dóna pas alternatiu↔ per #accident https://t.co/tg5a5sDh6I
